year,ward_code,ward_name,rainfall_mm,population_density,elevation_m,groundwater_depth_m,urban_area_percent,vegetation_percent,road_density_km_per_sq_km,water_source_proximity_km,water_potential_score
2012,W001,Yelahanka,725.2949907107862,8306.724257891896,941.9733936858124,46.8281040805513,90.88461053808557,8.17884163411771,15.0,8.588723066192896,37
2012,W001,Yelahanka,728.5042030510175,7721.448152937595,921.9318644357353,39.93776897769637,74.7912496469994,18.309079022948467,11.926245048800443,5.7678655924178255,55
2012,W001,Yelahanka,626.9633147135153,6013.453337596503,950.0,34.548339989342324,82.87410444476023,11.426902810385938,10.88739597675752,7.572854226103529,37
2012,W001,Yelahanka,716.823861284197,7474.450358146179,925.064512503721,35.666263241402675,95.0,5.0,10.979193987511922,8.819308385734146,36
2012,W001,Yelahanka,705.1454516503328,5028.193777016431,906.4076511198282,34.555478978750344,83.76315889912888,16.922314225631,10.957583858814084,6.762449484452374,41
2012,W001,Yelahanka,640.1359054123703,7726.45021227241,949.3432000719404,40.40484040358194,76.01590699469999,25.280428882879193,12.212899734004148,5.855979955458294,52
2012,W001,Yelahanka,762.6949665747165,10231.904214409185,915.2090845819924,42.285283182533355,95.0,8.902180508489437,13.628261353453276,7.313534304912566,38
2012,W001,Yelahanka,606.7905363143531,10018.146480309584,950.0,42.94162076117616,95.0,6.446544100190536,13.22914994282529,8.147487082151411,46
2012,W001,Yelahanka,688.0171772623033,11371.958580465238,883.1595881263845,49.56771238596781,95.0,5.0,15.0,5.16616041101884,38
2012,W001,Yelahanka,715.5228800058222,11215.809280534757,920.9861360710743,41.93064278800903,90.98594365132371,12.675664819484588,15.0,6.67752849412862,49
2012,W001,Yelahanka,697.3204284543629,10299.160982959229,917.6780443102076,42.331599153693176,91.86313477494274,5.0,14.91076805765284,8.089371853833857,41
2012,W001,Yelahanka,674.1039006637398,6007.932664309282,922.7433841902234,34.01150133776277,75.89056668399651,23.464290469339453,12.401439286096563,9.278827148106718,49
2012,W001,Yelahanka,708.5535273505935,8421.597351620927,895.7771181246172,40.07606708282646,93.76182964144152,16.091138808499622,12.955720801113284,7.587454604608715,44
2012,W001,Yelahanka,608.7175373666328,10612.681066127065,943.8497945883619,47.96864581193807,87.72490036164209,17.88627688210231,12.389963965861767,7.868600377835237,51
